2024-02-26T06:00:31.106Z - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
2024-02-26T06:04:50.801Z - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
2024-02-26T06:06:59.080Z - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:42 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:42 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:42 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:42 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 13: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:43 - Linha 15: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:43 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:44 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:44 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:44 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:44 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:44 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:44 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:44 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:44 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:44 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:45 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:45 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:45 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:45 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 12: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:45 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:45 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:45 - Linha 11: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:45 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 2: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 1: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 3: Status - Operação Encerrada, Mensagem - Fora do Horário de Operação
26/02/2024, 03:14:46 - Linha 7: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 5: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:46 - Linha 4: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:47 - Linha 8: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:47 - Linha 9: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:47 - Linha 10: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:47 - Linha 13: Status - Operação Encerrada, Mensagem - 
26/02/2024, 03:14:47 - Linha 11: Status - Operação Encerrada, Mensagem - 
